"exportador";"cnpj_do_exportador";"porte_do_exportador";"descricao_da_operacao";"uf";"pais_destino_das_exportacoes";"numero_da_operacao";"data_da_contratacao";"moeda_sigla";"fonte_de_recursos_desembolsos";"custo_financeiro";"setor_subsetor_de_atividade";"area_operacional";"modalidade_de_apoio";"forma_de_apoio";"produto";"modalidade_operacional";"mutuario";"categoria";"situacao_da_operacao";"tipo_de_garantia"
"TRAMONTINA TEEC S/A.";"01.554.846/0001-36";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0042";"2014-06-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0043";"2014-07-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0044";"2014-07-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CONSILOS INDUSTRIAL LTDA";"76.533.629/0001-69";"MÉDIA";"Exportação de bens";"PR";"PARAGUAI";"5387368/0004";"2014-07-21";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CONSILOS INDUSTRIAL LTDA";"76.533.629/0001-69";"MÉDIA";"Exportação de bens";"PR";"PARAGUAI";"5387368/0005";"2014-07-21";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"JOSE DARCI CAMARGO JUNIOR";"06.890.517/0001-80";"MICRO";"Exportação de bens";"SP";"PARAGUAI";"5227847/0008";"2014-07-22";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA.";"61.076.055/0001-70";"GRANDE";"Exportação de bens";"SP";"PERU";"3460569/0004";"2014-07-23";"US$ COMPRA";"FAT CAMBIAL";"Taxa flutuante em moeda estrangeira LIBOR 06";"INDUSTRIA/FABRICACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA.";"61.076.055/0001-70";"GRANDE";"Exportação de bens";"SP";"PERU";"3460569/0005";"2014-07-23";"US$ COMPRA";"FAT CAMBIAL";"Taxa flutuante em moeda estrangeira LIBOR 06";"INDUSTRIA/FABRICACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SAUR EQUIPAMENTOS S/A";"92.253.095/0001-73";"MÉDIA";"Exportação de bens";"RS";"PARAGUAI";"5387368/0006";"2014-07-28";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"JOSE DARCI CAMARGO JUNIOR";"06.890.517/0001-80";"MICRO";"Exportação de bens";"SP";"PARAGUAI";"5227847/0009";"2014-08-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"FERRAZ MAQUINAS E ENGENHARIA LTDA";"43.490.424/0001-94";"MÉDIA";"Exportação de bens";"SP";"PARAGUAI";"5387368/0007";"2014-08-18";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5443407/0001";"2014-08-27";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SAUR EQUIPAMENTOS S/A";"92.253.095/0001-73";"MÉDIA";"Exportação de bens";"RS";"PARAGUAI";"5387368/0008";"2014-09-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"JOSE DARCI CAMARGO JUNIOR";"06.890.517/0001-80";"MICRO";"Exportação de bens";"SP";"PARAGUAI";"5227847/0010";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KEPLER WEBER INDUSTRIAL S/A";"87.288.940/0001-06";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5387368/0009";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KEPLER WEBER INDUSTRIAL S/A";"87.288.940/0001-06";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5387368/0010";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KEPLER WEBER INDUSTRIAL S/A";"87.288.940/0001-06";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5387368/0011";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"MAQUINAS AGRICOLAS JACTO S A";"55.064.562/0001-90";"GRANDE";"Exportação de bens";"SP";"PARAGUAI";"5387368/0012";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"MAQUINAS AGRICOLAS JACTO S A";"55.064.562/0001-90";"GRANDE";"Exportação de bens";"SP";"PARAGUAI";"5387368/0013";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"MAQUINAS AGRICOLAS JACTO S A";"55.064.562/0001-90";"GRANDE";"Exportação de bens";"SP";"PARAGUAI";"5443407/0002";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0045";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0046";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0047";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0048";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0049";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0050";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0051";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0052";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0053";"2014-09-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0054";"2014-10-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0055";"2014-10-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0056";"2014-10-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0057";"2014-10-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0058";"2014-10-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0059";"2014-10-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA MULTI S/A";"88.037.668/0001-54";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0060";"2014-10-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5443407/0003";"2014-10-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5443407/0004";"2014-10-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5443407/0005";"2014-10-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5443407/0006";"2014-10-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KEPLER WEBER INDUSTRIAL S/A";"87.288.940/0001-06";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5387368/0014";"2014-10-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA";"87.834.883/0001-13";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0061";"2014-10-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"JOSE DARCI CAMARGO JUNIOR";"06.890.517/0001-80";"MICRO";"Exportação de bens";"SP";"PARAGUAI";"5227847/0011";"2014-10-22";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0062";"2014-10-27";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA SA CUTELARIA";"90.050.238/0001-14";"GRANDE";"Exportação de bens";"RS";"CHILE";"2838300/0063";"2014-10-27";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5443407/0007";"2014-11-14";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"RANDON SA IMPLEMENTOS E PARTICIPACOES";"89.086.144/0001-16";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5387368/0015";"2014-11-18";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"RANDON SA IMPLEMENTOS E PARTICIPACOES";"89.086.144/0001-16";"GRANDE";"Exportação de bens";"RS";"PARAGUAI";"5387368/0016";"2014-11-18";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/ATIVIDADES DE SERVICOS FINANCEIROS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE - EXIM AUTOMÁTICO";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
